round,country,playing_order,rank_source,points_televoting,points_jury,tweets,positive,neutral,negative
2018_semi1,EST,9,5,120,81,2099,542,542,120
2018_semi1,BUL,10,7,70,107,1855,522,451,151
2018_semi1,MKD,11,18,6,18,1799,365,550,228
2018_semi1,CRO,12,17,17,46,1631,426,328,200
2018_semi1,AUT,13,4,116,115,1607,440,424,89
2018_semi1,GRE,14,14,53,28,1789,378,407,123
2018_semi1,FIN,15,10,73,35,2242,594,584,161
2018_semi1,ARM,16,15,41,38,1094,239,217,101
2018_semi1,SUI,17,13,27,59,1667,405,464,119
2018_semi1,IRL,18,6,108,71,2240,689,635,142
2018_semi1,CYP,19,2,173,89,2595,512,774,123
2018_semi2,NOR,1,1,133,133,2249,555,539,172
2018_semi2,ROU,2,11,40,67,173,44,50,26
2018_semi2,SRB,3,9,72,45,1563,346,374,139
2018_semi2,SMR,4,17,14,14,1883,397,546,173
2018_semi2,DEN,5,5,164,40,2175,499,618,178
2018_semi2,RUS,6,15,51,14,1568,299,344,179
2018_semi2,MDA,7,3,153,82,2017,557,470,134
2018_semi2,NED,8,7,47,127,1938,427,617,153
2018_semi2,AUS,9,4,82,130,2147,609,543,205
2018_semi2,GEO,10,18,13,11,1470,219,388,166
2018_semi2,POL,11,14,60,21,1889,355,428,163
2018_semi2,MLT,12,13,8,93,1499,366,405,120
2018_semi2,HUN,13,10,88,23,2486,449,763,188
2018_semi2,LAT,14,12,14,92,1464,370,349,117
2018_semi2,SWE,15,2,83,171,2338,511,674,165
2018_semi2,MNE,16,16,17,23,1444,240,394,134
2018_semi2,SLO,17,8,65,67,1783,374,480,150
2018_semi2,UKR,18,6,114,65,2458,785,620,131
2018_final,POR,8,26,18,21,1400,281,565,123
2018_final,FRA,13,13,59,114,1397,325,441,88
2018_final,GER,11,4,136,204,1643,394,424,256
2018_final,ITA,26,5,249,59,1530,550,394,76
2018_final,ESP,2,23,18,43,1726,312,366,139
2018_final,GBR,9,24,25,23,2502,894,837,325
2018_final,IRL,24,16,62,74,1703,677,556,86
2018_final,CYP,25,2,253,183,2318,652,688,113
2018_final,FIN,17,25,23,23,1620,702,413,109
2018_final,CZE,14,6,215,66,3248,414,2000,144
2018_final,EST,6,8,102,143,1736,492,597,118
2018_final,AUT,5,3,71,271,1258,479,295,88
2018_final,ISR,22,1,317,212,3753,712,1526,457
2018_final,BUL,18,14,66,100,992,217,264,126
2018_final,ALB,12,11,58,126,792,218,186,112
2018_final,LTU,4,12,91,90,1299,300,439,155
2018_final,AUS,16,20,9,90,1304,371,347,201
2018_final,DEN,15,9,38,188,1694,373,564,229
2018_final,HUN,21,21,65,28,1982,445,577,207
2018_final,MDA,19,10,115,94,1847,536,461,145
2018_final,NED,23,18,32,89,1567,379,660,136
2018_final,NOR,7,15,84,60,1945,429,782,185
2018_final,SRB,10,19,75,38,984,146,333,75
2018_final,SLO,3,22,23,41,904,244,292,98
2018_final,SWE,20,7,21,253,1576,314,421,140
2018_final,UKR,1,17,119,11,2138,351,1018,114
